Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Business,BUS,BUS 18,1298,COMBS G E,5.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,36
Business,BUS,BUS 20,1300,SEDKY S M,21.0,6.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,44
Business,BUS,BUS 20,1301,SABOLIC P C,3.0,18.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,38
Business,BUS,BUS 20,1302,KELLY MARCELLA A,13.0,17.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,47
Business,BUS,BUS 20,1303,SABOLIC P C,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
Business,BUS,BUS 20,1304,SEDKY S M,19.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,32
Business,BUS,BUS 20,1305,SEDKY S M,20.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,35
Business,BUS,BUS 20,1306,SEDKY S M,16.0,8.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,35
Business,BUS,BUS 20,4060,OLIVERI J S,17.0,3.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,35
Business,BUS,BUS 21,1307,IVAS L,27.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48
Business,BUS,BUS 22,4061,ADELMAN A,10.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36
Business,BUS,BUS 23,3361,PACCIORETTI T S,18.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34
Business,BUS,BUS 23,4062,PACCIORETTI T S,14.0,13.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,38
Business,BUS,BUS 26,1308,COPLEN J S,11.0,10.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,36
