Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Theatre Arts,TH ART,TH ART 41,SCHWARTZ D N,7,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6,16
Theatre Arts,TH ART,TH ART 42,HARROP A M,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24
Theatre Arts,TH ART,TH ART 42,SAWOSKI P,19,6,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,36
Theatre Arts,TH ART,TH ART 45,MARTIN A F,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18
Theatre Arts,TH ART,TH ART 46,MATTSSON M F,12,4,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4,24
Theatre Arts,TH ART,TH ART 50,HARROP A M,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
Theatre Arts,TH ART,TH ART 50,SAWOSKI P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
Theatre Arts,TH ART,TH ART 51,HARROP A M,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15
Theatre Arts,TH ART,TH ART 51,SAWOSKI P,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Theatre Arts,TH ART,TH ART 55,ADAIR-LYNCH T A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,17
Theatre Arts,TH ART,TH ART 55,"ADAIR-LYNCH T
A/MATTSSON M F",20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21
Theatre Arts,TH ART,TH ART 88A,SAWOSKI P,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Theatre Arts,TH ART,TH ART 88B,SAWOSKI P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
