Department,Subject,Course,Section,Instructor,A,B,C,D,F,IX,NP,P,RD,W,Total
Cosmetology,COSM,COSM 21D,1565,MONGE J V,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,17
Cosmetology,COSM,COSM 21E,1566,YOUNG C P,9.0,4.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,27
Cosmetology,COSM,COSM 21E,1567,YOUNG C P,5.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,22
Cosmetology,COSM,COSM 26,1568,MYERS A M,17.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,33
Cosmetology,COSM,COSM 26,1569,NUNLEY R M,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20
Cosmetology,COSM,COSM 28A,1570,LEDONNE H,7.0,14.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,34
Cosmetology,COSM,COSM 28A,1571,LEDONNE H,8.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,32
Cosmetology,COSM,COSM 28B,1573,LIM J Y,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27
Cosmetology,COSM,COSM 28B,1574,LIM J Y,17.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Cosmetology,COSM,COSM 30,1576,IJAMES S V,15.0,7.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,41
Cosmetology,COSM,COSM 30,1577,MYERS A M,14.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,28
Cosmetology,COSM,COSM 31A,1578,ROGERS JR J,16.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,29
Cosmetology,COSM,COSM 31B,1580,FELIX F,16.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,31
Cosmetology,COSM,COSM 31C,1582,ASSADI J,12.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31
Cosmetology,COSM,COSM 31E,3534,NUNLEY R M,12.0,10.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,34
Cosmetology,COSM,COSM 36,1583,NUNLEY R M,15.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28
Cosmetology,COSM,COSM 36,1584,CEBALLOS B A,16.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,29
Cosmetology,COSM,COSM 38,1585,LIM J Y,13.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27
Cosmetology,COSM,COSM 38,1586,LIM J Y,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27
Cosmetology,COSM,COSM 38B,3537,IJAMES S V,16.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21
Cosmetology,COSM,COSM 38B,3538,IJAMES S V,20.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,29
Cosmetology,COSM,COSM 38C,3539,IJAMES S V,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21
Cosmetology,COSM,COSM 38C,3540,IJAMES S V,16.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,25
Cosmetology,COSM,COSM 40,1587,DICAMILLO N,15.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,33
Cosmetology,COSM,COSM 41B,1588,FELIX F,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26
Cosmetology,COSM,COSM 42,1589,ROGERS JR J,13.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,27
Cosmetology,COSM,COSM 46,1590,IJAMES S V,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21
Cosmetology,COSM,COSM 48,1591,KEPLER J M,6.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,19
Cosmetology,COSM,COSM 48,1592,KEPLER J M,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,18
Cosmetology,COSM,COSM 48B,1593,LEDONNE H,4.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,25
Cosmetology,COSM,COSM 48B,1594,LEDONNE H,8.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,28
Cosmetology,COSM,COSM 50A,1595,MOISAN A V,11.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19
Cosmetology,COSM,COSM 50B,1596,CEBALLOS B A,6.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,17
Cosmetology,COSM,COSM 50C,1597,DICAMILLO N,9.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14
Cosmetology,COSM,COSM 50C,3553,DICAMILLO N,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Cosmetology,COSM,COSM 50E,3484,DICAMILLO N,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6
Cosmetology,COSM,COSM 50E,3555,DICAMILLO N,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12
Cosmetology,COSM,COSM 50N,3483,DICAMILLO N,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
Cosmetology,COSM,COSM 50N,3554,DICAMILLO N,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Cosmetology,COSM,COSM 64,1598,LEDONNE H,9.0,8.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,34
Cosmetology,COSM,COSM 64,1599,LEDONNE H,9.0,15.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,34
Cosmetology,COSM,COSM 95A,1602,PERRET D M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,6.0,56
Cosmetology,COSM,COSM 95B,1603,ROGERS JR J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,3.0,36
Cosmetology,COSM,COSM 95C,1604,LEDONNE H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0,28
Cosmetology,COSM,COSM 95D,1605,MOISAN A V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28
Counseling,COUNS,COUNS 1,1606,SANDOVAL F A,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,1.0,30
Counseling,COUNS,COUNS 1,1607,FINLEY S F,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,0.0,21.0,60
Counseling,COUNS,COUNS 11,1609,NISHIYAMA T K,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,0.0,36
Counseling,COUNS,COUNS 11,1610,SUEKAWA L,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,0.0,1.0,39
Counseling,COUNS,COUNS 11,1611,MIRANDA M L,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,0.0,5.0,37
Counseling,COUNS,COUNS 11,1612,TRUONG L,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,1.0,32
Counseling,COUNS,COUNS 11,1613,HU J R,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,2.0,37
Counseling,COUNS,COUNS 11,1614,KLINEMAN M S,0.0,0.0,0.0,0.0,0.0,0.0,9.0,31.0,0.0,2.0,42
Counseling,COUNS,COUNS 11,1615,WANG A C,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,0.0,1.0,40
Counseling,COUNS,COUNS 11,1616,KLINEMAN M S,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,24
Counseling,COUNS,COUNS 11,1618,ESTRADA C,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,2.0,27
Counseling,COUNS,COUNS 11,1619,KARIMIAN N,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,1.0,27
Counseling,COUNS,COUNS 11,1620,THOMPSON C,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,1.0,20
Counseling,COUNS,COUNS 11,3465,BOYD P A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,22
Counseling,COUNS,COUNS 11,3549,BOYD P A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,18
Counseling,COUNS,COUNS 12,1621,GAUSMAN J M,21.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,37
Counseling,COUNS,COUNS 12,1622,GAUSMAN J M,12.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,31
Counseling,COUNS,COUNS 12,1623,BANKS D D,10.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,22
Counseling,COUNS,COUNS 12,1624,BANKS D D,15.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,40
Counseling,COUNS,COUNS 12,1625,RUIZ J,18.0,3.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,33
Counseling,COUNS,COUNS 12,1626,RUIZ J,17.0,5.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,7.0,39
Counseling,COUNS,COUNS 12,1627,GURROLA D M,15.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,31
Counseling,COUNS,COUNS 12,1628,GURROLA D M,10.0,7.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,37
Counseling,COUNS,COUNS 12,1629,MORRIS M R,14.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,8.0,35
Counseling,COUNS,COUNS 12,1630,COHN‐SCHNEIDER R,20.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,30
Counseling,COUNS,COUNS 12,1631,COHN‐SCHNEIDER R,12.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,31
Counseling,COUNS,COUNS 12,1632,GARCIA C J,15.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,26
Counseling,COUNS,COUNS 12,1633,GARCIA C J,13.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,25
Counseling,COUNS,COUNS 12,1634,KENNISON R L,25.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,37
Counseling,COUNS,COUNS 12,4100,LAM J,16.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,25
Counseling,COUNS,COUNS 12,4101,LAM J,14.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,20
Counseling,COUNS,COUNS 12,4102,DE CAUSSIN J R,17.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,30
Counseling,COUNS,COUNS 12,4103,DE CAUSSIN J R,20.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,34
Counseling,COUNS,COUNS 12,4104,KENNISON R L,27.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,34
Counseling,COUNS,COUNS 15,1637,KENNISON R L,27.0,9.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,51
Counseling,COUNS,COUNS 15,4105,KENNISON R L,19.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,11.0,45
Counseling,COUNS,COUNS 16,1639,MORRIS M R,7.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,20
Counseling,COUNS,COUNS 20,1640,GALINDO O A,6.0,5.0,2.0,5.0,6.0,1.0,0.0,0.0,0.0,6.0,31
Counseling,COUNS,COUNS 20,1641,GALINDO O A,11.0,6.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,32
Counseling,COUNS,COUNS 20,1642,GALINDO O A,19.0,8.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,6.0,44
Counseling,COUNS,COUNS 20,1643,HALL STEPHANIE,9.0,12.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,37
Counseling,COUNS,COUNS 20,1644,GARCIA A K,10.0,3.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,6.0,34
Counseling,COUNS,COUNS 20,1645,GONZALEZ B M,3.0,6.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,31
Counseling,COUNS,COUNS 20,1646,PHILLIPS J M,14.0,9.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,35
Counseling,COUNS,COUNS 20,1647,GALINDO O A,12.0,7.0,2.0,3.0,8.0,0.0,1.0,2.0,0.0,5.0,40
Counseling,COUNS,COUNS 20,1648,FINCH L A,29.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34
Counseling,COUNS,COUNS 20,1649,VALENTINE D,11.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,31
Counseling,COUNS,COUNS 20,1650,BACCUS C C,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20
Counseling,COUNS,COUNS 20,1651,LEWIS M L,9.0,7.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,31
Counseling,COUNS,COUNS 20,1652,LEWIS M L,11.0,4.0,4.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,32
Counseling,COUNS,COUNS 20,1653,JACKSON A E,15.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,35
Counseling,COUNS,COUNS 20,1654,MICHEL‐ JACKSON R C,11.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,26
Counseling,COUNS,COUNS 20,1655,NUNEZ‐MASON R E,9.0,7.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,30
Counseling,COUNS,COUNS 20,1656,GARCIA A K,13.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,32
Counseling,COUNS,COUNS 20,1657,SANDOVAL F A,7.0,3.0,6.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,28
Counseling,COUNS,COUNS 20,1658,JEFFERSON S N,5.0,10.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,32
Counseling,COUNS,COUNS 20,1659,TREJO A D,13.0,8.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,35
Counseling,COUNS,COUNS 20,1660,GONZALEZ B M,11.0,5.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,6.0,43
Counseling,COUNS,COUNS 20,1661,COOPER D J,22.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,36
Counseling,COUNS,COUNS 20,1662,MICHEL‐ JACKSON R C,9.0,11.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,36
Counseling,COUNS,COUNS 20,1663,YAKHSZYAN H H,23.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,39
Counseling,COUNS,COUNS 20,1664,VALENTINE D,13.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,7.0,31
Counseling,COUNS,COUNS 20,1665,FARLEY E A,16.0,7.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,38
Counseling,COUNS,COUNS 20,1666,FINCH L A,22.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,40
Counseling,COUNS,COUNS 20,1667,TREJO A D,13.0,9.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,34
Counseling,COUNS,COUNS 20,1668,MICHEL‐ JACKSON R C,12.0,12.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,39
Counseling,COUNS,COUNS 20,1669,COOPER D J,23.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,37
Counseling,COUNS,COUNS 20,1670,PHILLIPS J M,9.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,28
Counseling,COUNS,COUNS 20,1671,TREJO A D,11.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,12.0,37
Counseling,COUNS,COUNS 20,1672,COOPER D J,25.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,38
Counseling,COUNS,COUNS 20,1673,FINLEY S F,19.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,38
Counseling,COUNS,COUNS 20,1674,HACKETT C D,9.0,10.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,46
Counseling,COUNS,COUNS 20,1675,VALENTINE D,8.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,13.0,33
Counseling,COUNS,COUNS 20,1676,DAHLENBURG T,18.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,36
Counseling,COUNS,COUNS 20,1677,FINLEY S F,15.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,32
Counseling,COUNS,COUNS 20,1678,PHILLIPS J M,12.0,10.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,35
Counseling,COUNS,COUNS 20,1679,JEFFERSON S N,16.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,30
Counseling,COUNS,COUNS 20,1680,WASHINGTON D M,7.0,7.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,35
Counseling,COUNS,COUNS 20,1681,YAKHSZYAN H H,16.0,8.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,36
Counseling,COUNS,COUNS 20,1682,DAHLENBURG T,13.0,5.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,33
Counseling,COUNS,COUNS 20,1683,JEFFERSON S N,11.0,8.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,34
Counseling,COUNS,COUNS 20,1684,SANDOVAL F A,6.0,4.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,28
Counseling,COUNS,COUNS 20,1685,DAHLENBURG T,8.0,7.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,33
Counseling,COUNS,COUNS 20,1686,GARCIA A K,17.0,8.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,35
Counseling,COUNS,COUNS 20,1687,FARLEY E A,11.0,6.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,32
Counseling,COUNS,COUNS 20,1688,ADKINS L B,6.0,9.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,28
Counseling,COUNS,COUNS 20,1689,ADKINS L B,8.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,30
Counseling,COUNS,COUNS 20,1690,FELIX J,5.0,7.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,23
Counseling,COUNS,COUNS 20,1691,FELIX J,4.0,12.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,29
Counseling,COUNS,COUNS 20,1692,HALL T T,17.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28
Counseling,COUNS,COUNS 20,1693,NAKAO P O,12.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,28
Counseling,COUNS,COUNS 20,1694,FELIX J,5.0,6.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,25
Counseling,COUNS,COUNS 20,1695,NAKAO P O,10.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,28
Counseling,COUNS,COUNS 20,1696,HALL T T,16.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,27
Counseling,COUNS,COUNS 20,1697,FELIX J,3.0,6.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,24
Counseling,COUNS,COUNS 20,1698,HALL T T,12.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,26
Counseling,COUNS,COUNS 20,1699,FELIX J,5.0,8.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,27
Counseling,COUNS,COUNS 20,4106,JACKSON A E,9.0,4.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,31
Counseling,COUNS,COUNS 20,4107,JACKSON A E,11.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,31
Counseling,COUNS,COUNS 20,4108,LEWIS M L,3.0,0.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,5.0,27
Counseling,COUNS,COUNS 20,4109,MARTIN‐TUNGPALA N K,3.0,1.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,23
Counseling,COUNS,COUNS 20,4110,MARTIN‐TUNGPALA N K,2.0,3.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,6.0,25
Counseling,COUNS,COUNS 20,4111,STEWART S,16.0,7.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,34
Counseling,COUNS,COUNS 20,4112,FINLEY S F,16.0,3.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,7.0,33
Counseling,COUNS,COUNS 20,4113,MARTIN‐TUNGPALA N K,2.0,2.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,6.0,25
Counseling,COUNS,COUNS 88C,1719,FELIX J,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Counseling,COUNS,COUNS 90A,1721,ROTHMAN V J,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,2.0,24
Counseling,COUNS,COUNS 90B,1722,ROTHMAN V J,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,13
Counseling,COUNS,COUNS 90C,1723,ROTHMAN V J,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,9
Counseling,COUNS,COUNS 90D,1724,ROTHMAN V J,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,7
Dance,DANCE,DANCE 2,1762,GONZALEZ G,46.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,51
Dance,DANCE,DANCE 2,1763,DOUGLAS JUDITH G,45.0,19.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,79
Dance,DANCE,DANCE 2,3520,GONZALEZ G,49.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54
Dance,DANCE,DANCE 2,3532,GONZALEZ G,59.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,71
Dance,DANCE,DANCE 5,1764,DOUGLAS JUDITH G,51.0,30.0,7.0,2.0,6.0,0.0,0.0,1.0,0.0,8.0,105
Dance,DANCE,DANCE 5,1765,TOMASIC M T,10.0,8.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,41
Dance,DANCE,DANCE 5,1767,LEE J Y,5.0,11.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,32
Dance,DANCE,DANCE 5,3561,LEE J Y,9.0,7.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,30
Dance,DANCE,DANCE 10,1768,MITCHELL C S,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,15
Dance,DANCE,DANCE 14,1769,JORDAN A N,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,15
Dance,DANCE,DANCE 15,1770,JORDAN A N,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,8
Dance,DANCE,DANCE 17,1771,GANDHI S N,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,13
Dance,DANCE,DANCE 18,1772,GANDHI S N,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8
Dance,DANCE,DANCE 20,4128,CANELLIAS L M,3.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,20
Dance,DANCE,DANCE 21,1773,SUSILOWATI S,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12
Dance,DANCE,DANCE 22,1774,RAMIREZ R V,1.0,5.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,17
Dance,DANCE,DANCE 23,1775,RAMIREZ R V,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dance,DANCE,DANCE 24,1776,OCAMPO C,10.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,24
Dance,DANCE,DANCE 25,1777,JORDAN A N,6.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,25
Dance,DANCE,DANCE 29,1778,JESSWEIN J N,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19
Dance,DANCE,DANCE 31,1779,MITCHELL C S,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,19
Dance,DANCE,DANCE 31,1780,MOLNAR CY A,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,21
Dance,DANCE,DANCE 31,1781,VAN WORMER V M,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,14
Dance,DANCE,DANCE 31,1782,MITCHELL C S,2.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,24
Dance,DANCE,DANCE 31,1783,MITCHELL C S,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,13
Dance,DANCE,DANCE 31,4129,RICHARDS C R,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,14
Dance,DANCE,DANCE 32,1784,MOLNAR CY A,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,14
Dance,DANCE,DANCE 32,1785,VAN WORMER V M,2.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,21
Dance,DANCE,DANCE 32,4130,RICHARDS C R,9.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,18
Dance,DANCE,DANCE 33,1787,LEE J Y,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,15
Dance,DANCE,DANCE 34,1788,LEE J Y,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,9
Dance,DANCE,DANCE 35,1789,MITCHELL C S,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9
Dance,DANCE,DANCE 36,1790,MITCHELL C S,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11
Dance,DANCE,DANCE 41,1791,AYBAY OWENS S,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,18
Dance,DANCE,DANCE 41,1792,MCDONALD K E,14.0,7.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,30
Dance,DANCE,DANCE 41,1793,BENDER M M,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,18
Dance,DANCE,DANCE 41,1794,VAN WORMER V M,5.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,27
Dance,DANCE,DANCE 42,1796,AYBAY OWENS S,10.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,23
Dance,DANCE,DANCE 42,1797,MCDONALD K E,9.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,24
Dance,DANCE,DANCE 43,1798,TOMASIC M T,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,11
Dance,DANCE,DANCE 44,1799,TOMASIC M T,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9
Dance,DANCE,DANCE 45,1800,VAN WORMER V M,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9
