Department,Subject,Course,Section,Instructor,A,B,C,D,F,IX,NP,P,RD,W,Total
Communication and Media Studies,COM ST,COM ST 36,1532,BROCCARD D,5.0,9.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,29
Communication and Media Studies,COM ST,COM ST 37,1533,SADEGHI‐TABRIZI F,8.0,3.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,32
Communication and Media Studies,COM ST,COM ST 37,1534,SHAFFER J M,2.0,13.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,28
Communication and Media Studies,COM ST,COM ST 37,1535,HEMMERT S B,11.0,8.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,35
Communication and Media Studies,COM ST,COM ST 37,1536,SMITH H A,3.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,25
Communication and Media Studies,COM ST,COM ST 37,4098,JAMES M L,7.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22
Communication and Media Studies,COM ST,COM ST 88A,1537,BROWN N A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,COM ST,COM ST 88B,3601,MUNOZ M E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,FILM,FILM 1,2386,HILL E T,9.0,9.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,33
Communication and Media Studies,FILM,FILM 1,2387,LAFFEY S A,12.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,35
Communication and Media Studies,FILM,FILM 1,2388,CRUM J,18.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,33
Communication and Media Studies,FILM,FILM 1,2389,HUNT S E,13.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,29
Communication and Media Studies,FILM,FILM 1,4218,CONLEY T,32.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,39
Communication and Media Studies,FILM,FILM 1,4219,BOLUS M P,16.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,33
Communication and Media Studies,FILM,FILM 1,4220,FLOOD S W,19.0,9.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,42
