Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Art,ART,ART 13,1185,PEREZ H N,9,4,2,0.0,1,0.0,0.0,0.0,0.0,0.0,3,19
Art,ART,ART 13,1186,SILVER E M,19,4,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Art,ART,ART 13,1187,BROMBERG T L,16,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,26
Art,ART,ART 13,1188,BERRY S M,4,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,5,12
Art,ART,ART 13,3349,PITURRO D,11,3,2,0.0,2,0.0,0.0,0.0,0.0,0.0,2,20
Art,ART,ART 17A,1189,JOLLER G,14,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,4,21
Art,ART,ART 17A,3456,BELL JA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9
Art,ART,ART 17B,1190,JOLLER G,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6
Art,ART,ART 20A,1191,OTA N T,15,3,1,2,3,0.0,0.0,0.0,0.0,0.0,1,25
Art,ART,ART 20A,1192,BURCHMAN J H,13,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,4,26
Art,ART,ART 20A,1193,VICICH G M,8,3,1,4,3,0.0,0.0,0.0,0.0,0.0,6,25
Art,ART,ART 20A,1194,BURCHMAN J H,15,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24
Art,ART,ART 20A,1195,VICICH G M,8,3,2,2,5,0.0,2,0.0,0.0,0.0,2,24
Art,ART,ART 20A,1196,GONZALES L,12,1,4,1,1,0.0,0.0,0.0,0.0,0.0,9,28
Art,ART,ART 20A,1197,HATTON C,9,4,2,2,3,0.0,0.0,0.0,0.0,0.0,8,28
Art,ART,ART 20A,1198,KOMPANEYETS M,9,0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,7,24
Art,ART,ART 20A,1199,HATTON C,11,6,3,0.0,3,0.0,0.0,0.0,0.0,0.0,7,30
