Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Communication and Media Studies,FILM,FILM 40,2426,SMITH C W,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31
Communication and Media Studies,FILM,FILM 50,2427,PLATT H H,5.0,12.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,30
Communication and Media Studies,FILM,FILM 88A,3670,MUNOZ M E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,FILM,FILM 90A,3646,MUNOZ M E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5
Communication and Media Studies,FILM,FILM 90A,3671,BARTESAGHI S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Communication and Media Studies,JOURN,JOURN 1,2625,RUBIN S M,7.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,21
Communication and Media Studies,JOURN,JOURN 1,2626,BLAIZE‐HOPKINS A N,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17
Communication and Media Studies,JOURN,JOURN 1,2627,RUBIN S M,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,18
Communication and Media Studies,JOURN,JOURN 1,2628,OBSATZ S B,14.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23
Communication and Media Studies,JOURN,JOURN 1,2629,OBSATZ S B,17.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,24
Communication and Media Studies,JOURN,JOURN 1,3633,STAMBLER L S,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10
Communication and Media Studies,JOURN,JOURN 2,4280,OBSATZ S B,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Communication and Media Studies,JOURN,JOURN 4A,4281,GIGGANS J H,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8
Communication and Media Studies,JOURN,JOURN 8,2630,BLAIZE‐HOPKINS A N,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,18
Communication and Media Studies,JOURN,JOURN 15,2631,RUBIN S M,4.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,24
Communication and Media Studies,JOURN,JOURN 15,2632,RUBIN S M,4.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,27
Communication and Media Studies,JOURN,JOURN 16,2633,BLAIZE‐HOPKINS A N,10.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,26
Communication and Media Studies,JOURN,JOURN 17,2634,BLAIZE‐HOPKINS A N,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Communication and Media Studies,JOURN,JOURN 17,2635,BLAIZE‐HOPKINS A N,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7
Communication and Media Studies,JOURN,JOURN 21,2636,BURKHART G J,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,12
Communication and Media Studies,JOURN,JOURN 22,2637,BURKHART G J,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Communication and Media Studies,JOURN,JOURN 43,4282,ADELMAN A,5.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16
Communication and Media Studies,MEDIA,MEDIA 1,2921,ROSENBERG V L,14.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37
Communication and Media Studies,MEDIA,MEDIA 1,2922,MOVIUS L,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Communication and Media Studies,MEDIA,MEDIA 1,2923,SIMMONS R D,4.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30
Communication and Media Studies,MEDIA,MEDIA 1,2924,CHEN A H,10.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,32
Communication and Media Studies,MEDIA,MEDIA 1,2925,COLEMAN D,6.0,11.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,34
Communication and Media Studies,MEDIA,MEDIA 1,2926,MOVIUS L,21.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,36
Communication and Media Studies,MEDIA,MEDIA 1,2927,BREWER S L,12.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,29
Communication and Media Studies,MEDIA,MEDIA 1,2928,BREWINGTON R H,16.0,5.0,7.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,39
Communication and Media Studies,MEDIA,MEDIA 1,2929,CHARLES H E,20.0,10.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,46
Communication and Media Studies,MEDIA,MEDIA 1,2930,SAXON L N,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24
Communication and Media Studies,MEDIA,MEDIA 1,2931,BREWER S L,16.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,33
Communication and Media Studies,MEDIA,MEDIA 1,2935,STAMBLER L S,20.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,34
Communication and Media Studies,MEDIA,MEDIA 1,2936,SIMMONS R D,9.0,11.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39
Communication and Media Studies,MEDIA,MEDIA 1,2939,OBSATZ S B,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
Communication and Media Studies,MEDIA,MEDIA 1,2940,BREWER S L,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30
