Department,Subject,Course,Section,Instructor,A,B,C,D,F,NP,P,IX,RD,EW,W,Total
Counseling,COUNS,COUNS 20,1718,TREJO A D,15,6,5,0.0,2,0.0,0.0,0.0,0.0,0.0,7,35
Counseling,COUNS,COUNS 20,1719,GUTIERREZ C,9,5,2,2,6,0.0,0.0,1,0.0,0.0,5,30
Counseling,COUNS,COUNS 20,1720,TREJO A D,12,8,3,1,3,0.0,1,0.0,0.0,0.0,5,33
Counseling,COUNS,COUNS 20,1721,COOPER D J,16,8,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,34
Counseling,COUNS,COUNS 20,1722,YAKHSZYAN H H,15,2,3,0.0,11,0.0,0.0,0.0,0.0,0.0,1,32
Counseling,COUNS,COUNS 20,1723,MARTIN-TUNGPALA,3,2,4,1,12,0.0,0.0,0.0,0.0,0.0,5,27
Counseling,COUNS,COUNS 20,1724,GONZALEZ AN,20,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,4,31
Counseling,COUNS,COUNS 20,1725,FINLEY S F,13,5,2,1,8,0.0,0.0,0.0,0.0,0.0,5,34
Counseling,COUNS,COUNS 20,1726,COOPER D J,17,5,6,0.0,1,0.0,0.0,0.0,0.0,0.0,1,30
Counseling,COUNS,COUNS 20,1728,HACKETT C D,13,2,2,2,7,0.0,0.0,0.0,0.0,0.0,2,28
Counseling,COUNS,COUNS 20,1729,GUTIERREZ C,18,8,1,0.0,5,0.0,0.0,0.0,0.0,0.0,2,34
Counseling,COUNS,COUNS 20,1730,HERNANDEZ-CABRE,8,5,4,0.0,5,0.0,0.0,0.0,0.0,0.0,3,25
Counseling,COUNS,COUNS 20,1731,FINLEY S F,11,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,7,26
Counseling,COUNS,COUNS 20,1733,HERNANDEZ-CABRE,12,6,1,0.0,7,0.0,0.0,1,0.0,0.0,2,29
Counseling,COUNS,COUNS 20,1734,GONZALEZ AN,18,2,0.0,1,7,0.0,0.0,0.0,0.0,0.0,2,30
Counseling,COUNS,COUNS 20,1736,SAMANI N,10,4,2,0.0,1,1,0.0,0.0,0.0,0.0,6,24
Counseling,COUNS,COUNS 20,1737,ROSS S A,8,4,4,1,2,0.0,0.0,0.0,0.0,0.0,10,29
Counseling,COUNS,COUNS 20,1743,FELIX J,10,8,2,2,3,0.0,0.0,0.0,0.0,0.0,2,27
Counseling,COUNS,COUNS 20,1744,BONILLA V,9,9,3,2,7,0.0,0.0,0.0,0.0,0.0,4,34
Counseling,COUNS,COUNS 20,1745,VALLEJO O,9,2,4,0.0,1,0.0,0.0,0.0,0.0,0.0,12,28
Counseling,COUNS,COUNS 20,1746,FELIX J,19,3,4,0.0,5,0.0,1,0.0,0.0,0.0,0.0,32
Counseling,COUNS,COUNS 20,1748,BONILLA V,21,3,1,0.0,2,0.0,0.0,0.0,0.0,0.0,5,32
Counseling,COUNS,COUNS 20,1750,FELIX J,17,2,3,1,3,0.0,0.0,0.0,0.0,0.0,1,27
Counseling,COUNS,COUNS 20,1751,BONILLA V,6,7,5,1,3,0.0,0.0,0.0,0.0,0.0,7,29
Counseling,COUNS,COUNS 20,1752,BONILLA V,16,2,1,0.0,5,0.0,0.0,0.0,0.0,0.0,4,28
Counseling,COUNS,COUNS 20,1753,TILLEY ROSILYNN E,6,6,5,0.0,2,0.0,0.0,0.0,0.0,0.0,2,21
Counseling,COUNS,COUNS 20,1754,FELIX J,10,3,2,2,7,0.0,0.0,0.0,0.0,0.0,2,26
Counseling,COUNS,COUNS 20,1755,VALENTINE D,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,36
Counseling,COUNS,COUNS 20,1756,VALENTINE D,9,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,9,21
Counseling,COUNS,COUNS 20,1757,VALENTINE D,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,26
Counseling,COUNS,COUNS 20,1758,TILLEY ROSILYNN E,10,0.0,3,2,1,0.0,0.0,0.0,0.0,0.0,7,23
Counseling,COUNS,COUNS 20,1759,VALLEJO O,7,2,5,1,0.0,0.0,0.0,0.0,0.0,0.0,5,20
Counseling,COUNS,COUNS 20,1760,TILLEY ROSILYNN E,9,3,4,0.0,1,2,1,0.0,0.0,0.0,1,21
Counseling,COUNS,COUNS 20,1761,VALLEJO O,11,3,6,0.0,0.0,0.0,3,0.0,0.0,0.0,5,28
Counseling,COUNS,COUNS 20,3753,JACKSON A E,14,6,2,0.0,1,0.0,0.0,0.0,0.0,0.0,15,38
Counseling,COUNS,COUNS 20,3757,FELIX J,10,8,1,2,4,1,0.0,0.0,0.0,0.0,0.0,26
Counseling,COUNS,COUNS 88C,1783,FELIX J,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Counseling,COUNS,COUNS 90A,1784,JOHNSON DE A,0.0,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0,0.0,7
Counseling,COUNS,COUNS 90B,1785,JOHNSON DE A,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4
Counseling,COUNS,COUNS 90C,1786,JOHNSON DE A,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6
Counseling,COUNS,COUNS 90D,1787,JOHNSON DE A,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,2
Counseling,CIS,CIS 1,1472,SCOTT JACQUELINE,10,2,4,0.0,5,0.0,0.0,0.0,0.0,0.0,7,28
Counseling,CIS,CIS 1,1473,CANADA S A,10,7,6,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,27
Counseling,CIS,CIS 1,1475,SCOTT JACQUELINE,9,2,1,0.0,7,0.0,0.0,0.0,0.0,0.0,4,23
Counseling,CIS,CIS 1,1476,ROTHAUPT B L,23,3,1,2,1,0.0,1,0.0,0.0,0.0,1,32
Counseling,CIS,CIS 1,1477,ROTHAUPT B L,22,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,3,28
Counseling,CIS,CIS 1,1478,ROTHAUPT B L,16,3,4,2,0.0,0.0,2,0.0,0.0,0.0,4,31
Counseling,CIS,CIS 4,1479,CLARK G B,14,2,1,0.0,5,0.0,0.0,0.0,0.0,0.0,8,30
Counseling,CIS,CIS 4,1480,JERRY G S,20,4,3,2,1,0.0,0.0,0.0,0.0,0.0,3,33
Counseling,CIS,CIS 4,1481,JERRY G S,20,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,32
Counseling,CIS,CIS 4,1482,JERRY G S,25,3,3,1,0.0,1,0.0,0.0,0.0,0.0,1,34
Counseling,CIS,CIS 4,1483,JERRY G S,18,4,2,1,1,0.0,0.0,0.0,0.0,0.0,5,31
Counseling,CIS,CIS 4,1484,CANADA S A,20,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29
Counseling,CIS,CIS 4,1485,CANADA S A,19,4,2,2,0.0,0.0,1,0.0,0.0,0.0,3,31
Counseling,CIS,CIS 4,1486,ZIMMERMAN W L,17,3,4,2,0.0,0.0,1,0.0,0.0,0.0,12,39
Counseling,CIS,CIS 4,3697,SCOTT JACQUELINE,3,1,1,0.0,8,0.0,1,0.0,0.0,0.0,6,20
Counseling,CIS,CIS 4,4070,SIMMONDS A R,10,5,3,3,1,0.0,0.0,0.0,0.0,0.0,7,29
Counseling,CIS,CIS 9A,1487,DARWICHE J,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,7
Counseling,CIS,CIS 9B,1488,DARWICHE J,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Counseling,CIS,CIS 30,1489,BOLANDHEMAT F,15,6,1,1,4,0.0,0.0,0.0,0.0,0.0,2,29
Counseling,CIS,CIS 30,1490,ZIMMERMAN W L,12,2,2,0.0,0.0,1,0.0,0.0,0.0,0.0,5,22
Counseling,CIS,CIS 35A,1491,VALDIVIA O,15,2,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,20
Counseling,CIS,CIS 35B,1492,VALDIVIA O,8,1,1,0.0,2,0.0,1,0.0,0.0,0.0,10,23
Counseling,CIS,CIS 36M,1493,VALDIVIA O,11,4,0.0,0.0,1,1,0.0,0.0,0.0,0.0,5,22
Counseling,CIS,CIS 37,1494,JERRY G S,18,3,2,1,1,0.0,0.0,0.0,0.0,0.0,2,27
Counseling,CIS,CIS 39,1495,JERRY G S,27,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,33
Counseling,CIS,CIS 40,1496,VALDIVIA O,10,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,5,19
Counseling,CIS,CIS 50,1497,BOLANDHEMAT F,13,3,1,1,1,0.0,1,1,0.0,0.0,7,28
Counseling,CIS,CIS 51,1498,BOLANDHEMAT F,9,3,0.0,1,1,0.0,0.0,0.0,0.0,0.0,3,17
Counseling,CIS,CIS 54,4071,EL-KHOURY N R,12,6,3,0.0,5,1,1,0.0,0.0,0.0,4,32
Counseling,CIS,CIS 59A,1499,EL-KHOURY N R,4,1,0.0,1,3,0.0,0.0,0.0,0.0,0.0,10,19
Counseling,CIS,CIS 60A,1500,EL-KHOURY N R,18,1,2,1,2,0.0,0.0,0.0,0.0,0.0,7,31
Counseling,CIS,CIS 60B,1501,CLARK G B,9,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,24
Counseling,CIS,CIS 64,1502,VALDIVIA O,11,5,2,0.0,3,0.0,0.0,0.0,0.0,0.0,6,27
Counseling,CIS,CIS 67,1503,CLARK G B,13,3,1,0.0,1,0.0,0.0,0.0,0.0,0.0,8,26
Counseling,CIS,CIS 70,1505,ROTHAUPT B L,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Counseling,CIS,CIS 70,1506,ROTHAUPT B L,25,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,30
Counseling,CIS,CIS 902,7007,SIMMONDS A R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Counseling,CIS,CIS 903,7008,SIMMONDS A R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Counseling,CS,CS 3,1788,SUPAT W,17,7,1,2,11,0.0,0.0,0.0,0.0,0.0,5,43
Counseling,CS,CS 3,1789,SUPAT W,19,7,3,2,6,0.0,1,0.0,0.0,0.0,5,43
Counseling,CS,CS 3,1790,BOLANDHEMAT F,14,12,6,0.0,4,0.0,0.0,0.0,0.0,0.0,8,44
Counseling,CS,CS 3,1791,HURLEY D P,17,1,1,1,1,0.0,1,0.0,0.0,0.0,10,32
Counseling,CS,CS 3,1792,HURLEY D P,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,33
Counseling,CS,CS 3,1793,HOTSINPILLER S S,15,5,4,4,6,0.0,0.0,0.0,0.0,0.0,7,41
Counseling,CS,CS 3,1794,RATTANASOOK H,10,14,3,5,1,0.0,0.0,0.0,0.0,0.0,5,38
Counseling,CS,CS 3,1795,GEDDES JR J K,18,8,3,2,2,0.0,1,0.0,0.0,0.0,3,37
Counseling,CS,CS 3,3681,MARCHAND K A,19,4,3,0.0,0.0,0.0,0.0,2,0.0,0.0,4,32
Counseling,CS,CS 3,3698,RATTANASOOK H,6,5,0.0,2,3,0.0,0.0,0.0,0.0,0.0,3,19
Counseling,CS,CS 3,4097,KURTZ K A,14,4,2,3,5,0.0,0.0,1,0.0,0.0,5,34
Counseling,CS,CS 3,4098,KURTZ K A,18,7,4,4,11,0.0,0.0,0.0,0.0,0.0,1,45
Counseling,CS,CS 7,1796,SENO V T,15,6,2,0.0,6,0.0,0.0,0.0,0.0,0.0,5,34
Counseling,CS,CS 9A,1797,DARWICHE J,7,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13
Counseling,CS,CS 9B,1798,DARWICHE J,4,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7
Counseling,CS,CS 15,1799,BOLANDHEMAT F,10,10,3,0.0,4,0.0,0.0,0.0,0.0,0.0,10,37
Counseling,CS,CS 15,1800,BOLANDHEMAT F,9,6,1,1,7,1,1,0.0,0.0,0.0,12,38
Counseling,CS,CS 17,1801,HAGHOO M,12,6,3,1,5,1,0.0,0.0,0.0,0.0,6,34
Counseling,CS,CS 17,4100,HAGHOO M,16,10,1,0.0,1,3,0.0,0.0,0.0,0.0,4,35
Counseling,CS,CS 19,1802,BOLANDHEMAT F,14,4,3,0.0,2,0.0,1,0.0,0.0,0.0,0.0,24
Counseling,CS,CS 20A,3613,ALVI M R,31,0.0,0.0,0.0,2,1,0.0,2,0.0,0.0,5,41
Counseling,CS,CS 20A,4101,NGUYEN L V,13,10,2,2,6,1,0.0,0.0,0.0,0.0,6,40
Counseling,CS,CS 20A,4102,NGUYEN L V,5,7,3,1,6,1,0.0,0.0,0.0,0.0,20,43
Counseling,CS,CS 20B,4103,SU J C,8,5,1,0.0,1,0.0,0.0,0.0,0.0,0.0,4,19
Counseling,CS,CS 20B,4104,SU J C,7,2,1,1,4,0.0,0.0,0.0,0.0,0.0,5,20
Counseling,CS,CS 30,4105,NGUYEN L V,17,6,3,0.0,2,0.0,0.0,0.0,0.0,0.0,8,36
Counseling,CS,CS 40,4106,MORGAN D B,13,5,3,0.0,1,1,1,0.0,0.0,0.0,12,36
Counseling,CS,CS 42,3614,KURTZ K A,15,5,7,3,1,1,0.0,0.0,0.0,0.0,12,44
Counseling,CS,CS 42,4107,ESHAGHIAN M M,14,7,5,1,3,1,1,0.0,0.0,0.0,5,37
Counseling,CS,CS 50,1803,DARWICHE J,8,8,2,2,3,0.0,0.0,0.0,0.0,0.0,14,37
Counseling,CS,CS 50,1804,DEHKHODA A,19,8,2,0.0,1,0.0,1,0.0,0.0,0.0,9,40
Counseling,CS,CS 50,1805,DEHKHODA A,11,10,1,0.0,2,0.0,3,0.0,0.0,0.0,5,32
Counseling,CS,CS 50,1806,DEHKHODA A,14,6,4,0.0,3,0.0,0.0,0.0,0.0,0.0,9,36
Counseling,CS,CS 50,1807,ESHAGHIAN M M,23,5,1,1,1,0.0,0.0,0.0,0.0,0.0,4,35
Counseling,CS,CS 50,3682,MARCHAND K A,25,2,1,1,2,0.0,0.0,0.0,0.0,0.0,2,33
Counseling,CS,CS 50,4108,ALVI M R,16,6,4,0.0,3,2,0.0,0.0,0.0,0.0,4,35
Counseling,CS,CS 50,4109,AMINI A,17,2,1,0.0,3,0.0,0.0,0.0,0.0,0.0,5,28
Counseling,CS,CS 50,4110,ESHAGHIAN M M,6,1,2,1,5,2,0.0,0.0,0.0,0.0,7,24
Counseling,CS,CS 52,1808,BISHOP M S,4,8,6,4,3,0.0,0.0,0.0,0.0,0.0,14,39
Counseling,CS,CS 52,1809,ESHAGHIAN M M,23,8,1,0.0,2,0.0,0.0,0.0,0.0,0.0,3,37
Counseling,CS,CS 52,1810,ESHAGHIAN M M,25,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,35
Counseling,CS,CS 52,4111,BISHOP M S,7,8,6,2,5,1,2,0.0,0.0,0.0,9,40
Counseling,CS,CS 52,4112,BISHOP M S,12,5,1,2,4,0.0,1,0.0,0.0,0.0,16,41
Counseling,CS,CS 53A,4113,DEHKHODA A,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17
Counseling,CS,CS 55,1811,DEHKHODA A,21,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,35
Counseling,CS,CS 55,1812,DEHKHODA A,12,11,1,0.0,1,0.0,0.0,0.0,0.0,0.0,10,35
Counseling,CS,CS 56,1813,DEHKHODA A,17,15,2,2,1,0.0,0.0,0.0,0.0,0.0,2,39
Counseling,CS,CS 56,3615,KALISCH N A,10,8,1,0.0,3,0.0,0.0,0.0,0.0,0.0,4,26
Counseling,CS,CS 60,4114,SHARMA V D,23,4,2,3,4,0.0,0.0,0.0,0.0,0.0,6,42
Counseling,CS,CS 60,4115,SHARMA V D,18,7,2,0.0,6,0.0,0.0,0.0,0.0,0.0,7,40
Counseling,CS,CS 70,4116,MORGAN D B,11,4,1,0.0,2,0.0,1,0.0,0.0,0.0,11,30
Counseling,CS,CS 73A,1814,DARWICHE J,21,3,3,0.0,0.0,0.0,1,0.0,0.0,0.0,4,32
Counseling,CS,CS 73B,1815,CORBIN S L,20,1,5,0.0,3,0.0,1,0.0,0.0,0.0,0.0,30
Counseling,CS,CS 73C,1816,SENO V T,16,3,4,2,5,0.0,0.0,0.0,0.0,0.0,2,32
Counseling,CS,CS 77A,1817,DARWICHE J,15,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,19
Counseling,CS,CS 77B,1818,STAHL H A,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13
Counseling,CS,CS 79A,1819,WILLIAMS K J,26,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,42
Counseling,CS,CS 79A,3675,KOL K T,18,7,2,2,0.0,0.0,1,2,0.0,0.0,12,44
Counseling,CS,CS 79A,3752,SAMPLEWALA M S,13,2,0.0,0.0,7,0.0,0.0,1,0.0,0.0,6,29
Counseling,CS,CS 79B,1820,SAMPLEWALA M S,13,3,1,0.0,3,0.0,1,0.0,0.0,0.0,12,33
Counseling,CS,CS 79C,1821,SENO V T,22,8,0.0,2,3,0.0,0.0,0.0,0.0,1,4,40
Counseling,CS,CS 79C,3676,KOL K T,9,3,1,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,18
Counseling,CS,CS 79D,1822,SENO V T,28,4,1,0.0,2,0.0,0.0,3,0.0,0.0,1,39
Counseling,CS,CS 79E,1823,SENO V T,11,2,1,0.0,5,1,0.0,1,0.0,0.0,5,26
Counseling,CS,CS 79F,1824,SENO V T,21,4,0.0,2,6,0.0,0.0,3,0.0,0.0,4,40
Counseling,CS,CS 79Y,1825,STAHL H A,18,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,21
Counseling,CS,CS 79Z,1826,KOL K T,25,1,0.0,0.0,2,0.0,2,1,0.0,0.0,5,36
Counseling,CS,CS 80,1827,EDMONDS M,18,4,0.0,1,5,0.0,0.0,0.0,0.0,0.0,7,35
Counseling,CS,CS 80,1828,EDMONDS M,23,3,1,0.0,6,0.0,0.0,0.0,0.0,0.0,4,37
Counseling,CS,CS 81,1829,WANG AN C,14,4,1,1,4,1,1,0.0,0.0,0.0,8,34
Counseling,CS,CS 83R,1830,STAHL H A,11,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,6,22
Counseling,CS,CS 85,1831,SENO V T,10,3,2,1,3,0.0,0.0,0.0,0.0,0.0,4,23
Counseling,CS,CS 87A,1832,BISHOP M S,8,5,3,2,3,0.0,2,0.0,0.0,0.0,11,34
Counseling,CS,CS 87A,1833,BISHOP M S,6,4,3,0.0,2,0.0,0.0,0.0,0.0,0.0,5,20
Counseling,CS,CS 87A,1834,DARWICHE J,8,7,3,1,2,0.0,0.0,0.0,0.0,0.0,9,30
Counseling,CS,CS 87A,1835,DARWICHE J,5,5,2,2,4,1,2,0.0,0.0,0.0,13,34
Counseling,CS,CS 88A,1836,STAHL H A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Counseling,CS,CS 88C,1838,STAHL H A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Counseling,CS,CS 90A,1839,STAHL H A,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
Counseling,OFTECH,OFTECH 1,3189,REED A M,12,3,2,0.0,0.0,0.0,1,0.0,0.0,0.0,2,20
Counseling,OFTECH,OFTECH 1A,3190,REED A M,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,12
Counseling,OFTECH,OFTECH 1A,3191,VYOR S J,6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Counseling,OFTECH,OFTECH 1A,3192,VYOR S J,5,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,10
Counseling,OFTECH,OFTECH 1B,3193,REED A M,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Counseling,OFTECH,OFTECH 1B,3194,VYOR S J,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Counseling,OFTECH,OFTECH 1B,3195,VYOR S J,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,5
Counseling,OFTECH,OFTECH 1C,3196,REED A M,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
Counseling,OFTECH,OFTECH 1C,3197,VYOR S J,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
Counseling,OFTECH,OFTECH 1C,3198,VYOR S J,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Counseling,OFTECH,OFTECH 9,3199,REED A M,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Counseling,OFTECH,OFTECH 9,3200,VYOR S J,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Counseling,OFTECH,OFTECH 20,3202,REED A M,15,5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1,25
Counseling,OFTECH,OFTECH 23,3203,REED A M,21,4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,29
Counseling,OFTECH,OFTECH 27,3204,REED A M,18,3,3,0.0,4,0.0,0.0,0.0,0.0,0.0,1,29
Dance,DANCE,DANCE 2,1841,SUSILOWATI S,15,8,6,1,7,0.0,0.0,0.0,0.0,0.0,5,42
Dance,DANCE,DANCE 2,1842,SUSILOWATI S,33,22,5,0.0,4,0.0,1,0.0,0.0,0.0,11,76
Dance,DANCE,DANCE 2,1843,VAN WORMER V M,15,9,3,3,4,0.0,1,0.0,0.0,0.0,9,44
Dance,DANCE,DANCE 2,1844,SUSILOWATI S,22,7,1,3,2,0.0,0.0,0.0,0.0,0.0,7,42
Dance,DANCE,DANCE 2,4117,WOLIN-TUPAS R L,34,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,36
Dance,DANCE,DANCE 5,1845,DOUGLAS JUDITH G,25,19,12,3,12,0.0,2,0.0,0.0,0.0,7,80
Dance,DANCE,DANCE 5,1847,LEE J Y,9,4,3,2,4,0.0,0.0,0.0,0.0,0.0,4,26
Dance,DANCE,DANCE 5,3610,TOMASIC M T,7,4,2,2,3,0.0,0.0,0.0,0.0,0.0,8,26
Dance,DANCE,DANCE 10,1849,AYBAY OWENS S,6,1,0.0,1,4,0.0,1,1,0.0,0.0,1,15
Dance,DANCE,DANCE 10,1850,TOMASIC M T,4,1,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1,12
Dance,DANCE,DANCE 11,1852,MORENO M O,6,3,0.0,2,1,0.0,0.0,0.0,0.0,0.0,3,15
Dance,DANCE,DANCE 11,1853,MORENO M O,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9
Dance,DANCE,DANCE 11,4118,JORDAN A N,3,1,0.0,0.0,2,0.0,1,0.0,0.0,0.0,5,12
Dance,DANCE,DANCE 12,1855,MORENO M O,6,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,3,12
Dance,DANCE,DANCE 14,1856,MORENO M O,7,3,0.0,1,1,1,1,0.0,0.0,0.0,4,18
Dance,DANCE,DANCE 15,1857,MORENO M O,4,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,7
Dance,DANCE,DANCE 16,1858,MORENO M O,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dance,DANCE,DANCE 21A,3589,CEBALLOS BE A,6,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,3,11
Dance,DANCE,DANCE 21B,3590,CEBALLOS BE A,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
Dance,DANCE,DANCE 22,1861,RAMIREZ R V,9,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,14
Dance,DANCE,DANCE 23,1862,RAMIREZ R V,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
Dance,DANCE,DANCE 24,1863,OCAMPO C,21,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,4,28
Dance,DANCE,DANCE 25,1864,JORDAN A N,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6
Dance,DANCE,DANCE 25B,3591,JORDAN A N,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Dance,DANCE,DANCE 26A,1865,CANELLIAS L M,1,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,7,14
Dance,DANCE,DANCE 31,3571,MOLNAR CY A,3,1,0.0,1,0.0,1,1,0.0,0.0,0.0,10,17
Dance,DANCE,DANCE 32,1868,GAYDOS S C,12,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2,20
Dance,DANCE,DANCE 33A,1870,RICHARDS C R,2,2,1,0.0,1,0.0,1,0.0,0.0,0.0,6,13
Dance,DANCE,DANCE 33B,3647,RICHARDS C R,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dance,DANCE,DANCE 34A,1871,VAN WORMER V M,6,3,1,0.0,0.0,0.0,0.0,1,0.0,0.0,1,12
Dance,DANCE,DANCE 34B,3648,VAN WORMER V M,2,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,5
Dance,DANCE,DANCE 41,1872,MCDONALD K E,11,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,3,16
Dance,DANCE,DANCE 42,1874,MCDONALD K E,5,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,8
Dance,DANCE,DANCE 43A,1875,MORENO M O,2,2,1,1,0.0,0.0,0.0,1,0.0,0.0,2,9
Dance,DANCE,DANCE 43B,3649,MORENO M O,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,4
Dance,DANCE,DANCE 44A,1876,AYBAY OWENS S,6,1,2,0.0,0.0,1,1,0.0,0.0,0.0,1,12
Dance,DANCE,DANCE 44B,3650,AYBAY OWENS S,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Dance,DANCE,DANCE 55A,1877,LEE J Y,13,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,16
Dance,DANCE,DANCE 57A,4120,RAMIREZ R V,12,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3,18
Dance,DANCE,DANCE 60,1878,VAN WORMER V M,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,17
Dance,DANCE,DANCE 61,1879,VAN WORMER V M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
Dance,DANCE,DANCE 70,1880,LEE J Y,12,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,14
Dance,DANCE,DANCE 70,1881,RAMIREZ R V,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Design Technology,ANIM,ANIM 1,1130,KEESHEN J F,16,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,35
Design Technology,ANIM,ANIM 1,4015,KEESHEN J F,21,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,38
Design Technology,ANIM,ANIM 2,1131,CLARK C,7,6,7,0.0,1,0.0,0.0,0.0,0.0,0.0,2,23
