Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,Total
Communication and Media Studies,COM ST,COM ST 35,1605,SMITH H A,6,5,3,2,4,0.0,0.0,0.0,0.0,0.0,4,24
Communication and Media Studies,COM ST,COM ST 35,1606,BROWN N A,9,8,8,1,1,0.0,0.0,0.0,0.0,0.0,2,29
Communication and Media Studies,COM ST,COM ST 35,1607,BROWN N A,10,4,3,0.0,3,0.0,0.0,0.0,0.0,0.0,2,22
Communication and Media Studies,COM ST,COM ST 35,1609,BERGSTROM L M,11,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,29
Communication and Media Studies,COM ST,COM ST 36,1611,KAIMIKAUA-GREEN C,3,3,3,2,1,0.0,0.0,0.0,0.0,0.0,7,19
Communication and Media Studies,COM ST,COM ST 37,1613,WHIDDEN A R,13,6,5,0.0,3,0.0,0.0,0.0,0.0,0.0,6,33
Communication and Media Studies,COM ST,COM ST 37,1615,GRASS N L,5,4,4,1,0.0,1,0.0,0.0,0.0,0.0,15,30
Communication and Media Studies,FILM,FILM 1,2422,FLOOD S W,15,10,5,1,0.0,0.0,0.0,0.0,0.0,0.0,4,35
Communication and Media Studies,FILM,FILM 1,2423,LEMOND J W,9,12,3,1,6,0.0,0.0,0.0,0.0,0.0,1,32
Communication and Media Studies,FILM,FILM 1,2424,LEMOND J W,8,9,6,1,7,0.0,0.0,0.0,0.0,0.0,2,33
Communication and Media Studies,FILM,FILM 1,2425,SIMMONS R D,6,11,8,2,0.0,0.0,0.0,0.0,0.0,0.0,3,30
Communication and Media Studies,FILM,FILM 1,2426,SIMMONS R D,6,14,5,4,0.0,0.0,0.0,0.0,0.0,0.0,2,31
Communication and Media Studies,FILM,FILM 1,2427,SPRAGUE T,18,3,1,0.0,3,0.0,1,0.0,0.0,0.0,6,32
Communication and Media Studies,FILM,FILM 1,3654,COLEMAN D,6,3,3,2,6,0.0,0.0,0.0,0.0,0.0,8,28
Communication and Media Studies,FILM,FILM 1,3688,COLEMAN D,12,2,2,1,3,1,0.0,0.0,0.0,0.0,5,26
Communication and Media Studies,FILM,FILM 1,4117,BOLUS M P,24,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,32
Communication and Media Studies,FILM,FILM 1,4118,CONLEY T,23,8,0.0,0.0,1,0.0,0.0,1,0.0,0.0,5,38
Communication and Media Studies,FILM,FILM 2,2428,FLOOD S W,19,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,34
Communication and Media Studies,FILM,FILM 2,4119,KANIN J D,17,6,0.0,1,1,0.0,0.0,0.0,0.0,0.0,3,28
Communication and Media Studies,FILM,FILM 2,4120,KANIN J D,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29
Communication and Media Studies,FILM,FILM 5,2430,LAFFEY S A,19,3,3,0.0,2,0.0,0.0,0.0,0.0,0.0,6,33
Communication and Media Studies,FILM,FILM 5,2431,MANOJLOVIC M,20,4,0.0,2,3,0.0,0.0,0.0,0.0,0.0,1,30
Communication and Media Studies,FILM,FILM 5,2432,KANIN J D,5,19,0.0,2,3,0.0,0.0,0.0,0.0,0.0,1,30
Communication and Media Studies,FILM,FILM 6,4121,SHAW R D,17,9,1,0.0,0.0,0.0,0.0,0.0,0.0,1,5,33
Communication and Media Studies,FILM,FILM 7,3485,CARRASCO S,18,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Communication and Media Studies,FILM,FILM 8,2433,BIRNBAUM M J,19,7,3,1,3,0.0,0.0,0.0,0.0,0.0,1,34
Communication and Media Studies,FILM,FILM 8,2434,MANOJLOVIC M,21,5,0.0,1,1,0.0,0.0,0.0,0.0,0.0,3,31
Communication and Media Studies,FILM,FILM 8,2435,KANIN J D,9,7,0.0,5,1,3,0.0,0.0,0.0,0.0,1,26
Communication and Media Studies,FILM,FILM 9,2436,LEECH M R,16,5,2,0.0,4,0.0,0.0,0.0,0.0,0.0,3,30
Communication and Media Studies,FILM,FILM 9,2437,POIRIER N P,21,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,5,32
Communication and Media Studies,FILM,FILM 10,4122,BOLUS M P,17,1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,4,26
Communication and Media Studies,FILM,FILM 11,2438,POIRIER N P,18,4,2,0.0,0.0,0.0,0.0,3,0.0,0.0,3,30
Communication and Media Studies,FILM,FILM 20,2439,ROSENTHAL L,22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29
Communication and Media Studies,FILM,FILM 20,2440,DICKINSON L M,29,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,31
Communication and Media Studies,FILM,FILM 21,2441,PETRELLA R J,7,8,3,0.0,0.0,1,0.0,0.0,0.0,0.0,6,25
Communication and Media Studies,FILM,FILM 21,2442,BIRNBAUM M J,10,3,1,0.0,7,3,0.0,0.0,0.0,0.0,6,30
Communication and Media Studies,FILM,FILM 21,4123,PETRELLA R J,5,8,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4,18
Communication and Media Studies,FILM,FILM 30,2443,DANIELS R,8,11,2,4,0.0,0.0,0.0,0.0,0.0,0.0,4,29
Communication and Media Studies,FILM,FILM 30,2444,DANIELS R,11,8,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3,24
Communication and Media Studies,FILM,FILM 31,2445,BARTESAGHI S,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25
Communication and Media Studies,FILM,FILM 31,3538,CARRASCO S,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,28
Communication and Media Studies,FILM,FILM 31,4124,BARTESAGHI S,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27
Communication and Media Studies,FILM,FILM 32,2446,BARTESAGHI S,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
Communication and Media Studies,FILM,FILM 32,2447,BARTESAGHI S,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23
Communication and Media Studies,FILM,FILM 32L,2448,CARRASCO S,27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31
Communication and Media Studies,FILM,FILM 32L,2449,BARTESAGHI S,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20
Communication and Media Studies,FILM,FILM 32L,2450,BARTESAGHI S,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23
Communication and Media Studies,FILM,FILM 33L,2451,CARRASCO S,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
Communication and Media Studies,FILM,FILM 34,4311,SOLANKI V M,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Communication and Media Studies,FILM,FILM 40,2452,SOLANKI V M,20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,27
Communication and Media Studies,FILM,FILM 40,2453,SOLANKI V M,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,27
Communication and Media Studies,FILM,FILM 50,2454,PLATT H H,7,9,3,2,1,0.0,0.0,0.0,0.0,0.0,2,24
Communication and Media Studies,FILM,FILM 88A,2455,GRASS N L,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Communication and Media Studies,FILM,FILM 90A,3692,GRASS N L,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,GLOBAL,GLOBAL 3,2487,MOVIUS L,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20
Communication and Media Studies,GLOBAL,GLOBAL 3,2488,MOVIUS L,12,3,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,18
Communication and Media Studies,JOURN,JOURN 1,2632,RUBIN S M,2,7,4,1,0.0,0.0,0.0,0.0,0.0,0.0,7,21
Communication and Media Studies,JOURN,JOURN 1,2633,RUBIN S M,10,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,5,19
Communication and Media Studies,JOURN,JOURN 1,2636,BLAIZE-HOPKINS A N,8,2,0.0,0.0,5,0.0,0.0,0.0,0.0,1,3,19
Communication and Media Studies,JOURN,JOURN 1,3644,RUBIN S M,4,3,1,0.0,2,0.0,0.0,0.0,0.0,0.0,2,12
Communication and Media Studies,JOURN,JOURN 7,3551,OBSATZ S B,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13
Communication and Media Studies,JOURN,JOURN 15,2637,RUBIN S M,5,5,1,0.0,3,0.0,1,0.0,0.0,1,6,22
Communication and Media Studies,JOURN,JOURN 15,3645,RUBIN S M,5,4,1,1,3,0.0,0.0,0.0,0.0,0.0,6,20
Communication and Media Studies,JOURN,JOURN 16,2639,BLAIZE-HOPKINS A N,13,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4,23
Communication and Media Studies,JOURN,JOURN 17,2640,BLAIZE-HOPKINS A N,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,JOURN,JOURN 17,2641,BLAIZE-HOPKINS A N,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Communication and Media Studies,JOURN,JOURN 21,2642,BURKHART G J,5,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3,9
Communication and Media Studies,JOURN,JOURN 22,2643,BURKHART G J,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Communication and Media Studies,JOURN,JOURN 43,4151,ADELMAN A,6,5,1,1,1,0.0,0.0,0.0,0.0,0.0,1,15
Communication and Media Studies,MEDIA,MEDIA 1,2945,BREWINGTON R H,18,5,0.0,0.0,0.0,0.0,0.0,3,0.0,1,1,28
Communication and Media Studies,MEDIA,MEDIA 1,2946,CAPTOR R,17,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,33
Communication and Media Studies,MEDIA,MEDIA 1,2947,SHAW R D,11,7,2,0.0,1,0.0,0.0,2,0.0,0.0,5,28
Communication and Media Studies,MEDIA,MEDIA 1,2949,GOUGIS M J,12,11,5,1,0.0,0.0,0.0,0.0,0.0,0.0,4,33
Communication and Media Studies,MEDIA,MEDIA 1,2950,MOVIUS L,31,3,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,38
Communication and Media Studies,MEDIA,MEDIA 1,2951,GOUGIS M J,18,8,4,0.0,4,0.0,0.0,0.0,0.0,0.0,2,36
Communication and Media Studies,MEDIA,MEDIA 1,2952,DICKINSON L M,27,3,2,0.0,2,0.0,0.0,0.0,0.0,0.0,2,36
Communication and Media Studies,MEDIA,MEDIA 1,2953,MOVIUS L,30,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36
Communication and Media Studies,MEDIA,MEDIA 1,2954,RAZ J G,2,6,5,3,4,0.0,0.0,0.0,0.0,1,4,25
Communication and Media Studies,MEDIA,MEDIA 1,2955,COLEMAN D,10,5,3,0.0,2,0.0,0.0,0.0,0.0,0.0,4,24
Communication and Media Studies,MEDIA,MEDIA 1,2956,CHICAS H K,21,4,1,0.0,9,0.0,0.0,0.0,0.0,0.0,3,38
Communication and Media Studies,MEDIA,MEDIA 1,2957,DICKINSON L M,17,7,4,0.0,2,0.0,0.0,0.0,0.0,0.0,6,36
