Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Computer Science and Information Systems (CSIS),CIS,CIS 67,1475,CLARK G B,9.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,21
Computer Science and Information Systems (CSIS),CIS,CIS 70,1476,ROTHAUPT B L,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Computer Science and Information Systems (CSIS),CIS,CIS 70,1477,ROTHAUPT B L,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8
Computer Science and Information Systems (CSIS),CS,CS 3,1726,GREENFIELD N A,5.0,7.0,6.0,0.0,9.0,4.0,3.0,0.0,3.0,2.0,39
Computer Science and Information Systems (CSIS),CS,CS 3,1727,GREENFIELD N A,19.0,4.0,4.0,0.0,8.0,0.0,3.0,0.0,3.0,2.0,43
Computer Science and Information Systems (CSIS),CS,CS 3,1728,BOLANDHEMAT F,18.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,35
Computer Science and Information Systems (CSIS),CS,CS 3,1729,HURLEY D P,16.0,4.0,5.0,0.0,2.0,0.0,1.0,0.0,9.0,1.0,38
Computer Science and Information Systems (CSIS),CS,CS 3,1730,HURLEY D P,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,33
Computer Science and Information Systems (CSIS),CS,CS 3,1731,KOL K T,19.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0,39
Computer Science and Information Systems (CSIS),CS,CS 3,1732,KOL K T,22.0,3.0,4.0,1.0,5.0,0.0,2.0,0.0,0.0,4.0,41
Computer Science and Information Systems (CSIS),CS,CS 3,1733,BOLANDHEMAT F,18.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,31
Computer Science and Information Systems (CSIS),CS,CS 3,1734,HOTSINPILLER S S,21.0,8.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,43
Computer Science and Information Systems (CSIS),CS,CS 3,3410,BOLANDHEMAT F,18.0,8.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,38
Computer Science and Information Systems (CSIS),CS,CS 3,3429,HOTSINPILLER S S,16.0,9.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,6.0,43
Computer Science and Information Systems (CSIS),CS,CS 3,3483,MARCHAND K A,13.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,5.0,39
Computer Science and Information Systems (CSIS),CS,CS 3,4060,SUPAT W,13.0,6.0,4.0,2.0,4.0,1.0,0.0,0.0,2.0,4.0,36
Computer Science and Information Systems (CSIS),CS,CS 7,1735,SENO V T,16.0,4.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,35
Computer Science and Information Systems (CSIS),CS,CS 9A,1736,DARWICHE J,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18
Computer Science and Information Systems (CSIS),CS,CS 9B,1737,DARWICHE J,5.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,17
Computer Science and Information Systems (CSIS),CS,CS 17,1738,STAHL H A,10.0,5.0,3.0,1.0,4.0,0.0,0.0,0.0,9.0,10.0,42
Computer Science and Information Systems (CSIS),CS,CS 17,1739,STAHL H A,11.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,8.0,10.0,39
Computer Science and Information Systems (CSIS),CS,CS 17,1740,HAGHOO M,11.0,7.0,6.0,0.0,4.0,0.0,0.0,0.0,3.0,6.0,37
Computer Science and Information Systems (CSIS),CS,CS 17,3431,STAHL H A,10.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,11.0,36
Computer Science and Information Systems (CSIS),CS,CS 20A,1741,BISHOP M S,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,7.0,21
Computer Science and Information Systems (CSIS),CS,CS 20A,1742,BISHOP M S,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,22
Computer Science and Information Systems (CSIS),CS,CS 20A,4061,NGUYEN L V,2.0,5.0,8.0,3.0,4.0,0.0,1.0,0.0,7.0,12.0,42
Computer Science and Information Systems (CSIS),CS,CS 20B,4062,SU J C,19.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,32
Computer Science and Information Systems (CSIS),CS,CS 30,4063,NGUYEN L V,5.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,5.0,27
Computer Science and Information Systems (CSIS),CS,CS 34A,1743,BISHOP M S,7.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,9.0,27
Computer Science and Information Systems (CSIS),CS,CS 40,1744,KOL K T,16.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,6.0,34
Computer Science and Information Systems (CSIS),CS,CS 41,1745,DABBAGH H,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28
Computer Science and Information Systems (CSIS),CS,CS 42,4064,KURTZ K A,15.0,4.0,0.0,3.0,4.0,0.0,2.0,0.0,4.0,2.0,34
Computer Science and Information Systems (CSIS),CS,CS 42,4065,KURTZ K A,16.0,4.0,1.0,1.0,7.0,0.0,1.0,0.0,3.0,4.0,37
Computer Science and Information Systems (CSIS),CS,CS 42,4240,KURTZ K A,10.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,26
Computer Science and Information Systems (CSIS),CS,CS 50,1746,DEHKHODA A,22.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,37
Computer Science and Information Systems (CSIS),CS,CS 50,1747,DEHKHODA A,10.0,13.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,34
Computer Science and Information Systems (CSIS),CS,CS 50,1748,DEHKHODA A,15.0,10.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,35
Computer Science and Information Systems (CSIS),CS,CS 50,1749,KALISCH N A,25.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,43
Computer Science and Information Systems (CSIS),CS,CS 50,1750,DEHKHODA A,11.0,10.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,35
Computer Science and Information Systems (CSIS),CS,CS 50,3432,KALISCH N A,26.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,43
Computer Science and Information Systems (CSIS),CS,CS 50,4066,KOENIG P,16.0,2.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,29
Computer Science and Information Systems (CSIS),CS,CS 52,1751,BISHOP M S,8.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,6.0,28
Computer Science and Information Systems (CSIS),CS,CS 52,1752,GREENFIELD N A,17.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,8.0,37
Computer Science and Information Systems (CSIS),CS,CS 52,1753,BISHOP M S,7.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,7.0,7.0,30
Computer Science and Information Systems (CSIS),CS,CS 52,1754,RATTANASOOK H,30.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,45
Computer Science and Information Systems (CSIS),CS,CS 52,1755,RATTANASOOK H,31.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43
Computer Science and Information Systems (CSIS),CS,CS 52,4247,HAGHOO M,13.0,7.0,5.0,0.0,4.0,1.0,2.0,0.0,3.0,5.0,40
Computer Science and Information Systems (CSIS),CS,CS 55,1756,DEHKHODA A,16.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,39
Computer Science and Information Systems (CSIS),CS,CS 55,1757,DEHKHODA A,15.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,34
Computer Science and Information Systems (CSIS),CS,CS 56,1758,DEHKHODA A,21.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,32
Computer Science and Information Systems (CSIS),CS,CS 60,1759,SHARMA V D,18.0,6.0,1.0,1.0,4.0,0.0,1.0,0.0,4.0,5.0,40
Computer Science and Information Systems (CSIS),CS,CS 60,1760,SHARMA V D,11.0,4.0,2.0,1.0,9.0,0.0,0.0,0.0,2.0,7.0,36
Computer Science and Information Systems (CSIS),CS,CS 70,1761,AMIRFAZLIAN M,17.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,38
Computer Science and Information Systems (CSIS),CS,CS 73A,1762,DARWICHE J,15.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,7.0,31
Computer Science and Information Systems (CSIS),CS,CS 73B,1763,CORBIN S L,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,19
Computer Science and Information Systems (CSIS),CS,CS 73C,1764,SENO V T,15.0,8.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,3.0,40
Computer Science and Information Systems (CSIS),CS,CS 73L,1765,DARWICHE J,10.0,3.0,7.0,1.0,6.0,1.0,0.0,0.0,2.0,6.0,36
Computer Science and Information Systems (CSIS),CS,CS 79A,1766,KOL K T,18.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,42
Computer Science and Information Systems (CSIS),CS,CS 79B,1767,KOL K T,20.0,4.0,1.0,0.0,6.0,0.0,3.0,0.0,1.0,5.0,40
Computer Science and Information Systems (CSIS),CS,CS 79C,1768,SENO V T,10.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,23
Computer Science and Information Systems (CSIS),CS,CS 79D,1769,SENO V T,9.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,27
Computer Science and Information Systems (CSIS),CS,CS 79F,1770,SENO V T,18.0,2.0,3.0,1.0,7.0,0.0,0.0,1.0,1.0,6.0,39
Computer Science and Information Systems (CSIS),CS,CS 80,1771,BOLANDHEMAT F,26.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,42
Computer Science and Information Systems (CSIS),CS,CS 81,1772,WANG AN C,19.0,4.0,2.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,38
Computer Science and Information Systems (CSIS),CS,CS 82A,1773,SENO V T,23.0,2.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,4.0,38
Computer Science and Information Systems (CSIS),CS,CS 82B,1774,SENO V T,15.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,8.0,34
Computer Science and Information Systems (CSIS),CS,CS 82C,1775,DAVILA S,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,23
Computer Science and Information Systems (CSIS),CS,CS 87A,1776,GREENFIELD N A,12.0,4.0,4.0,0.0,3.0,0.0,2.0,0.0,5.0,10.0,40
Computer Science and Information Systems (CSIS),CS,CS 87A,1777,GREENFIELD N A,9.0,1.0,2.0,0.0,6.0,1.0,1.0,0.0,7.0,9.0,36
Computer Science and Information Systems (CSIS),CS,CS 87A,1778,DARWICHE J,3.0,4.0,6.0,0.0,7.0,0.0,0.0,0.0,3.0,6.0,29
Computer Science and Information Systems (CSIS),CS,CS 87A,1779,DARWICHE J,6.0,6.0,6.0,2.0,3.0,2.0,1.0,0.0,3.0,5.0,34
Computer Science and Information Systems (CSIS),CS,CS 87A,3433,KOENIG P,26.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,37
Computer Science and Information Systems (CSIS),CS,CS 87B,1780,DARWICHE J,8.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,31
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 1A,2923,REED A M,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,15
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 1A,2924,VYOR S J,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 1B,2925,REED A M,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 1B,2926,VYOR S J,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,12
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 1C,2928,VYOR S J,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 20,2929,REED A M,24.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 21,2930,REED A M,17.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,28
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 23,2931,REED A M,23.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,31
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 24,2932,REED A M,17.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,29
Computer Science and Information Systems (CSIS),OFTECH,OFTECH 28,2933,REED A M,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,25
Cosmetology,COSM,COSM 10A,1549,PERRET D M,14.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,30
Cosmetology,COSM,COSM 10A,1550,PERRET D M,15.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,26
Cosmetology,COSM,COSM 10A,1551,PERRET D M,16.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,29
Cosmetology,COSM,COSM 10A,1552,PERRET D M,13.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,25
Cosmetology,COSM,COSM 10A,1553,PERRET D M,10.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,22
Cosmetology,COSM,COSM 10A,3472,KEPLER J M,11.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,28
Cosmetology,COSM,COSM 10B,1554,KEPLER J M,16.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,30
Cosmetology,COSM,COSM 10B,1555,KEPLER J M,11.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,27
Cosmetology,COSM,COSM 10B,1556,KEPLER J M,10.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,25
Cosmetology,COSM,COSM 10B,1557,KEPLER J M,14.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,28
Cosmetology,COSM,COSM 10B,1558,KEPLER J M,11.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,24
Cosmetology,COSM,COSM 10B,3471,IJAMES S V,13.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,25
Cosmetology,COSM,COSM 11A,1559,MOISAN A V,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29
Cosmetology,COSM,COSM 11A,1560,MOISAN A V,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27
Cosmetology,COSM,COSM 11B,1561,PERRET D M,11.0,3.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,28
Cosmetology,COSM,COSM 11B,1562,PERRET D M,14.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,26
Cosmetology,COSM,COSM 11C,1563,MANUEL S M,17.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,30
Cosmetology,COSM,COSM 11C,1564,MANUEL S M,8.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,24
Cosmetology,COSM,COSM 11D,1565,MOISAN A V,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29
Cosmetology,COSM,COSM 11D,1566,MOISAN A V,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,27
Cosmetology,COSM,COSM 16,1567,CEBALLOS B A,26.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,33
Cosmetology,COSM,COSM 16,1568,CEBALLOS B A,17.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24
Cosmetology,COSM,COSM 18,1569,BOTMA S M,12.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
Cosmetology,COSM,COSM 18,1570,MANUEL S M,11.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,24
Cosmetology,COSM,COSM 18,1571,BOTMA S M,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19
Cosmetology,COSM,COSM 18,1572,MANUEL S M,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23
Cosmetology,COSM,COSM 20,1573,IJAMES S V,15.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,25
Cosmetology,COSM,COSM 20,1574,IJAMES S V,12.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,26
Cosmetology,COSM,COSM 20,1575,IJAMES S V,9.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,21
Cosmetology,COSM,COSM 21A,1576,HARRISON H L,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25
Cosmetology,COSM,COSM 21A,1577,HARRISON H L,15.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,24
Cosmetology,COSM,COSM 21B,1578,ASSADI J,10.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,29
Cosmetology,COSM,COSM 21B,1579,ASSADI J,8.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,20
Cosmetology,COSM,COSM 21C,1580,CEBALLOS B A,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
Cosmetology,COSM,COSM 21C,1581,CEBALLOS B A,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26
Cosmetology,COSM,COSM 21E,1582,MYERS A M,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15
Cosmetology,COSM,COSM 21E,1583,MYERS A M,8.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,23
Cosmetology,COSM,COSM 26,1584,MONGE J V,17.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25
Cosmetology,COSM,COSM 26,1585,MONGE J V,18.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,28
Cosmetology,COSM,COSM 28A,1586,VAN KALLEN D,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Cosmetology,COSM,COSM 28A,1587,HORN S L,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,18
Cosmetology,COSM,COSM 28A,1588,VAN KALLEN D,7.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,22
Cosmetology,COSM,COSM 28B,1589,HORN S L,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20
Cosmetology,COSM,COSM 28B,1590,HORN S L,6.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19
Cosmetology,COSM,COSM 28B,1591,HORN S L,11.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,21
Cosmetology,COSM,COSM 30,1592,IJAMES S V,10.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,22
Cosmetology,COSM,COSM 30,1593,IJAMES S V,14.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,25
Cosmetology,COSM,COSM 30,1594,IJAMES S V,8.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,21
Cosmetology,COSM,COSM 31A,1595,HARRISON H L,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,19
Cosmetology,COSM,COSM 31E,1597,MYERS A M,3.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,17
Cosmetology,COSM,COSM 36,1598,MONGE J V,8.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,19
Cosmetology,COSM,COSM 36,1599,MONGE J V,20.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29
Cosmetology,COSM,COSM 38,1600,BOTMA S M,13.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,23
Cosmetology,COSM,COSM 38,1601,BOTMA S M,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,20
Cosmetology,COSM,COSM 38B,1602,VAN KALLEN D,9.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22
Cosmetology,COSM,COSM 38B,1603,VAN KALLEN D,12.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Cosmetology,COSM,COSM 38C,1604,VAN KALLEN D,7.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
Cosmetology,COSM,COSM 38C,1605,VAN KALLEN D,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24
Cosmetology,COSM,COSM 42,1607,HARRISON H L,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28
Cosmetology,COSM,COSM 42,1608,HARRISON H L,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28
Cosmetology,COSM,COSM 46,1609,MONGE J V,15.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20
Cosmetology,COSM,COSM 48,1610,HORN S L,6.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Cosmetology,COSM,COSM 48,1611,HORN S L,11.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23
Cosmetology,COSM,COSM 48B,1612,MONGE J V,16.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,23
Cosmetology,COSM,COSM 48B,1613,MONGE J V,18.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24
Cosmetology,COSM,COSM 50A,1614,MOISAN A V,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,9
Cosmetology,COSM,COSM 50A,1615,MOISAN A V,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,11
Cosmetology,COSM,COSM 50E,1616,DICAMILLO N,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,17
Cosmetology,COSM,COSM 50E,1617,DICAMILLO N,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,18
Cosmetology,COSM,COSM 50N,1618,DICAMILLO N,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8
Cosmetology,COSM,COSM 50N,1619,DICAMILLO N,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5
Cosmetology,COSM,COSM 50R,3362,DICAMILLO N,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Cosmetology,COSM,COSM 64,1620,MANUEL S M,16.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28
Cosmetology,COSM,COSM 64,1621,MANUEL S M,19.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,31
Cosmetology,COSM,COSM 95A,1622,MANUEL S M,0.0,0.0,0.0,0.0,0.0,37.0,23.0,0.0,2.0,4.0,66
Cosmetology,COSM,COSM 95A,1623,MOISAN A V,0.0,0.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,4.0,42
Cosmetology,COSM,COSM 95B,1624,MYERS A M,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,2.0,4.0,36
Cosmetology,COSM,COSM 95C,1625,MANUEL S M,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,2.0,15
Cosmetology,COSM,COSM 95D,1626,MYERS A M,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,6
Counseling,COUNS,COUNS 1,1627,FINLEY S F,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,2.0,2.0,40
Counseling,COUNS,COUNS 1,1628,FINLEY S F,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,2.0,2.0,32
Counseling,COUNS,COUNS 11,1629,NISHIYAMA T K,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,40
Counseling,COUNS,COUNS 11,1630,HAMILTON K N,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,1.0,0.0,41
Counseling,COUNS,COUNS 11,1631,FINLEY S F,0.0,0.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,1.0,38
Counseling,COUNS,COUNS 11,1632,NOU C S,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,31
Counseling,COUNS,COUNS 11,1633,ROWLAND Y T,0.0,0.0,0.0,0.0,0.0,26.0,12.0,0.0,0.0,1.0,39
Counseling,COUNS,COUNS 11,1634,WU CO,0.0,0.0,0.0,0.0,0.0,32.0,13.0,0.0,1.0,0.0,46
Counseling,COUNS,COUNS 11,1635,FINLEY S F,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,2.0,1.0,33
Counseling,COUNS,COUNS 12,1637,TRACHTENBERG J,20.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,31
Counseling,COUNS,COUNS 12,1638,JOHNSON DE A,14.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,27
Counseling,COUNS,COUNS 12,1639,RYAN M K,16.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,29
Counseling,COUNS,COUNS 12,1640,MARTINEZ E,15.0,9.0,10.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,40
Counseling,COUNS,COUNS 12,1641,GAUSMAN J M,20.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,34
Counseling,COUNS,COUNS 12,1642,GURROLA D M,10.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,23
Counseling,COUNS,COUNS 12,1643,SRAPYAN G,15.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,5.0,31
Counseling,COUNS,COUNS 12,1644,ABRAMYAN M D,15.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,30
Counseling,COUNS,COUNS 12,1645,FOX M P,21.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,31
Counseling,COUNS,COUNS 12,1646,SUNDERMEIER C,11.0,2.0,3.0,1.0,7.0,0.0,0.0,0.0,3.0,2.0,29
Counseling,COUNS,COUNS 12,1647,TRACHTENBERG J,14.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,25
Counseling,COUNS,COUNS 12,1648,JOHNSON DE A,11.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,7.0,6.0,33
Counseling,COUNS,COUNS 12,1649,RYAN M K,9.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,24
Counseling,COUNS,COUNS 12,1650,MARTINEZ E,13.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,29
Counseling,COUNS,COUNS 12,1651,GAUSMAN J M,23.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,32
Counseling,COUNS,COUNS 12,1652,GURROLA D M,13.0,6.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,31
