Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Art,AHIS,AHIS 52,1109,DASTIN E R,19.0,4.0,2.0,0.0,6.0,1.0,0.0,0.0,5.0,2.0,39
Art,AHIS,AHIS 52,4005,MACE J Y,12.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,28
Art,AHIS,AHIS 72,1111,RODRIGUEZ K,28.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,40
Art,ART,ART 10A,1177,ARUTIAN C L,4.0,3.0,5.0,0.0,2.0,1.0,0.0,0.0,8.0,4.0,27
Art,ART,ART 10A,1178,MITCHELL R,2.0,3.0,1.0,0.0,5.0,0.0,1.0,3.0,2.0,2.0,19
Art,ART,ART 10A,1179,PEREZ H N,11.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,22
Art,ART,ART 10A,1180,SHIBATA J M,17.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,28
Art,ART,ART 10A,1181,BADGER C P,11.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,3.0,26
Art,ART,ART 10A,1182,SANTANA T L,11.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,24
Art,ART,ART 10A,1183,MITCHELL R,18.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,27
Art,ART,ART 10A,1184,MIYANO E,12.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,26
Art,ART,ART 10A,1185,BADGER C P,20.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,28
Art,ART,ART 10A,1186,KARLSEN A M,11.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,23
Art,ART,ART 10A,1187,KARLSEN A M,11.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,24
Art,ART,ART 10A,1188,KARLSEN A M,10.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,22
Art,ART,ART 10A,1189,OAKLEY M A,16.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,27
Art,ART,ART 10A,1190,BERRY S M,10.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,22
