Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Communication and Media Studies,FILM,FILM 21,4307,PETRELLA R J,8,8,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,19
Communication and Media Studies,FILM,FILM 30,2314,DANIELS R,16,3,1,2,0.0,0.0,0.0,0.0,0.0,5,0.0,27
Communication and Media Studies,FILM,FILM 30,2315,DANIELS R,10,5,2,2,0.0,0.0,0.0,0.0,0.0,5,0.0,24
Communication and Media Studies,FILM,FILM 31,4129,BARTESAGHI S,54,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,56
Communication and Media Studies,FILM,FILM 32,2316,BARTESAGHI S,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,25
Communication and Media Studies,FILM,FILM 32,2317,CARRASCO S,13,2,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,17
Communication and Media Studies,FILM,FILM 34,2318,BARTESAGHI S,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
Communication and Media Studies,FILM,FILM 40,2319,SOLANKI V M,21,3,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,29
Communication and Media Studies,FILM,FILM 40,2320,SOLANKI V M,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,23
Communication and Media Studies,FILM,FILM 50,2321,PLATT H H,4,10,7,1,0.0,0.0,0.0,1,0.0,2,0.0,25
Communication and Media Studies,JOURN,JOURN 1,2502,RUBIN S M,10,4,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,18
Communication and Media Studies,JOURN,JOURN 1,2503,RUBIN S M,9,3,1,0.0,1,1,0.0,0.0,0.0,2,0.0,17
Communication and Media Studies,JOURN,JOURN 1,2504,RUBIN S M,9,5,2,1,0.0,0.0,0.0,0.0,0.0,5,0.0,22
Communication and Media Studies,JOURN,JOURN 1,2507,BLAIZE-HOPKINS A N,3,4,0.0,0.0,2,0.0,2,0.0,0.0,4,0.0,15
Communication and Media Studies,JOURN,JOURN 2,4152,OBSATZ S B,12,6,1,2,0.0,0.0,0.0,1,0.0,4,0.0,26
