Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Earth Science,ENERGY,ENERGY 1,COOLEY S,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8
Earth Science,ENERGY,ENERGY 2,COOLEY S,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17
Earth Science,ENVRN,ENVRN 7,LEDDY G,16.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,29
Earth Science,ERTHSC,ERTHSC 88A,MINZENBERG E G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Earth Science,ERTHSC,ERTHSC 88B,MINZENBERG E G,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Earth Science,ERTHSC,ERTHSC 88C,MINZENBERG E G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Earth Science,GEOG,GEOG 1,COPE J A,14.0,13.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,41
Earth Science,GEOG,GEOG 1,LIU J,13.0,16.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,47
Earth Science,GEOG,GEOG 1,ROBINSON C M,11.0,7.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,34
Earth Science,GEOG,GEOG 2,ABATE A,5.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,19
Earth Science,GEOG,GEOG 2,MORRIS P S,17.0,9.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,56
Earth Science,GEOG,GEOG 3,KRANZ J,11.0,18.0,7.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,67
Earth Science,GEOG,GEOG 5,DRAKE V G,4.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,30
Earth Science,GEOG,GEOG 5,HACKELING J,9.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,30
Earth Science,GEOG,GEOG 5,LIU J,11.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,28
Earth Science,GEOG,GEOG 5,PRINDLE M R,16.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28
Earth Science,GEOG,GEOG 5,WHITE T M,15.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,35
Earth Science,GEOG,GEOG 7,LEDDY G,9.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Earth Science,GEOG,GEOG 8,MORRIS P S,4.0,5.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,32
Earth Science,GEOG,GEOG 11,ABATE A,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8
Earth Science,GEOG,GEOG 14,HACKELING J,14.0,7.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,38
Earth Science,GEOG,GEOG 14,MORRIS P S,4.0,6.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,29
Earth Science,GEOG,GEOG 20,LIU J,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
Earth Science,GEOG,GEOG 23,LIU J,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6
Earth Science,GEOG,GEOG 35S,PATRICH J G,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13
Earth Science,GEOL,GEOL 1,GRIPPO A,6.0,11.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,37
Earth Science,GEOL,GEOL 3,MELENDEZ C,9.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,29
Earth Science,GEOL,GEOL 4,COLLINS L E,14.0,25.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,56
Earth Science,GEOL,GEOL 4,HALL J M,13.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,33
Earth Science,GEOL,GEOL 4,MELENDEZ C,31.0,18.0,7.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,63
Earth Science,GEOL,GEOL 5,GRIPPO A,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,26
Earth Science,GEOL,GEOL 31,COLLINS L E,9.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25
Earth Science,GIS,GIS 20,LIU J,8.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,20
Earth Science,GIS,GIS 23,LIU J,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
